step,baseline_train_loss,reader_train_loss
355,3.523423,3.730768
356,3.498325,3.707143
357,3.505398,3.714039
358,3.51087,3.72043
359,3.510706,3.720512
360,3.517221,3.728837
361,3.518671,3.729519
362,3.516033,3.726156
363,3.503285,3.713965
364,3.493439,3.704359
365,3.499854,3.7098
366,3.499943,3.710258
367,3.510497,3.720775
368,3.506315,3.714878
369,3.496378,3.702173
370,3.497989,3.703769
371,3.500528,3.706352
372,3.492483,3.698073
373,3.495924,3.701364
374,3.496452,3.702273
375,3.504544,3.710004
376,3.511372,3.71571
377,3.515952,3.719157
378,3.511259,3.712682
379,3.51307,3.714594
380,3.51425,3.716582
381,3.519776,3.723815
382,3.510325,3.713297
383,3.513896,3.717118
384,3.507388,3.712405
385,3.518863,3.723922
386,3.51618,3.721825
387,3.509754,3.714874
388,3.511882,3.717677
389,3.515527,3.721544
390,3.512463,3.718791
391,3.523269,3.730531
392,3.516259,3.723698
393,3.509363,3.715509
394,3.508602,3.714901
395,3.515756,3.72249
396,3.517722,3.724317
397,3.511727,3.716204
398,3.503082,3.706846
399,3.493339,3.697137
400,3.49683,3.699735
401,3.496307,3.698723
402,3.492221,3.692672
403,3.494477,3.694355
404,3.49426,3.694914
405,3.483279,3.68411
406,3.468947,3.668779
407,3.472252,3.672852
408,3.477481,3.678762
409,3.4821,3.681935
410,3.48285,3.682674
411,3.486877,3.686112
412,3.482514,3.68264
413,3.489291,3.690873
414,3.489984,3.692671
415,3.492557,3.694968
416,3.493009,3.696012
417,3.50027,3.702441
418,3.494152,3.697246
419,3.494199,3.69849
420,3.479385,3.684218
421,3.473062,3.678267
422,3.483258,3.68895
423,3.473541,3.678839
424,3.4733,3.679213
425,3.463988,3.669256
426,3.450152,3.655948
427,3.450368,3.656809
428,3.448292,3.653878
429,3.449673,3.655006
430,3.45024,3.655305
431,3.44426,3.648628
432,3.443199,3.647506
433,3.445892,3.648972
434,3.447881,3.651589
435,3.436053,3.639876
436,3.439592,3.642513
437,3.439341,3.641642
438,3.435918,3.63756
439,3.44048,3.640947
440,3.436932,3.637588
441,3.434033,3.63507
442,3.427316,3.62858
443,3.424168,3.625133
444,3.433658,3.635177
445,3.427671,3.629134
446,3.435092,3.63645
447,3.437183,3.638553
448,3.435148,3.636648
449,3.438305,3.639808
450,3.438128,3.640231
451,3.446541,3.648253
452,3.445896,3.646966
453,3.442884,3.643508
454,3.449968,3.650583
455,3.448125,3.648737
456,3.444863,3.644906
457,3.441278,3.641508
458,3.438605,3.639752
459,3.430765,3.630885
460,3.432141,3.632668
461,3.413175,3.613078
462,3.421004,3.621027
463,3.423215,3.623773
464,3.425284,3.626452
465,3.421671,3.622205
466,3.418688,3.619699
467,3.420839,3.623215
468,3.434166,3.63797
469,3.427114,3.633146
470,3.420876,3.627566
471,3.42259,3.629678
472,3.428598,3.63518
473,3.422898,3.62992
474,3.420562,3.628413
475,3.411668,3.619757
476,3.426443,3.634697
477,3.41646,3.624523
478,3.400006,3.607156
479,3.408745,3.61526
480,3.408855,3.61626
481,3.396315,3.60301
482,3.388922,3.595914
483,3.395866,3.602146
484,3.3985,3.604235
485,3.394759,3.599215
486,3.378523,3.582556
487,3.383142,3.586968
488,3.392018,3.595129
489,3.388364,3.591186
490,3.380157,3.582862
491,3.383005,3.586061
492,3.39153,3.594183
493,3.37948,3.582484
494,3.378804,3.582024
495,3.388832,3.591664
496,3.398478,3.602681
497,3.383276,3.586302
498,3.385982,3.589161
499,3.372387,3.575148
500,3.373272,3.575753
501,3.365992,3.568099
502,3.368949,3.571238
503,3.371589,3.572889
504,3.377691,3.57967
505,3.379495,3.58145
506,3.388084,3.590831
507,3.388874,3.591626
508,3.38724,3.590939
509,3.391788,3.595114
510,3.391942,3.594908
511,3.377212,3.579218
512,3.372501,3.575465
513,3.37963,3.582625
514,3.372378,3.57584
515,3.365149,3.568066
516,3.380368,3.582912
517,3.372065,3.573719
518,3.377871,3.579793
519,3.387865,3.589786
520,3.39013,3.591325
521,3.386461,3.589449
522,3.395676,3.59982
523,3.397687,3.60169
524,3.394064,3.597636
525,3.393068,3.596562
526,3.39068,3.594249
527,3.381722,3.58652
528,3.372781,3.577774
529,3.369582,3.574007
530,3.364675,3.570072
531,3.356813,3.562007
532,3.349398,3.555028
533,3.344939,3.549639
